pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1221633_Meiotic_Synapsis,0.549053356282272,0.726287283930951,0.0667426134241917,0.288575385185038,0.939988369047804,27,15270 12189 71846 19357
1445146_Translocation_of_Glut4_to_the_Plasma_Membrane,0.695286195286195,0.83662774217189,0.0544555953940371,0.238728383748997,0.836685565444082,39,17918 19341 20336 22628 22627 20619 16579 16568 11651 12315 12314 11465 53413 107371 12313
442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes,0.112244897959184,0.259982253771074,0.213927855492356,-0.364070576725193,-1.346057177593,31,76199 19014 26896 229003 17977 17978 12537 70208 67381 59024 327987 20602
508751_Circadian_Clock,0.782688766114181,0.879995110750238,0.0531298054705469,0.25163243604723,0.728708816619041,17,20893 59027 19883
5334727_Mus_musculus_biological_processes,0.358006042296073,0.557956225493347,0.0819778796501272,0.24690651474541,1.04989211033285,106,60406 19361 15270 20893 12189 68240 71846 20018 192191 12567 19891 59027 19357
573389_NoRC_negatively_regulates_rRNA_expression,0.419889502762431,0.619786520450339,0.0840745577910723,0.360740748757059,1.04467837399024,17,60406 20018 245688 20017
5990976_Assembly_of_the_pre-replicative_complex,0.000124944261134179,0.00143563405930645,0.518848077743792,0.559431315871011,2.05088447503111,49,57441 17219 17215 23834 56452 66634 17216 17218 17463 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 26442 19177
5990977_DNA_Replication_Pre-Initiation,1.27910266586855e-06,2.58466952482403e-05,0.643551836150722,0.578846390178478,2.25195165173797,63,57441 17219 17215 68240 18968 23834 56452 66634 19891 17216 17218 18973 17463 19075 19076 12544 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990978_M_G1_Transition,1.27910266586855e-06,2.58466952482403e-05,0.643551836150722,0.578846390178478,2.25195165173797,63,57441 17219 17215 68240 18968 23834 56452 66634 19891 17216 17218 18973 17463 19075 19076 12544 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
"5990979_Cell_Cycle,_Mitotic",6.69048070029472e-27,3.9206216903727e-24,1.34223377296446,0.559475493154341,2.76906952874179,317,66336 66977 12442 107995 66442 12571 52276 54392 215387 67629 72415 56150 57441 20877 67121 12615 21973 11799 66468 20135 67849 73804 70454 76044 20878 13555 60411 12580 17219 69270 12575 69263 12448 14211 20873 18005 71988 17215 12534 208628 22390 68240 228421 68014 19348 12236 72151 18817 21781 18968 66934 272551 227613 67141 68612 68298 13361 108000 23834 106344 56452 242705 18141 223921 26886 13557 268697 72155 56371 12531 327762 12567 229841 67052 16319 66634 67203 17865 12235 19891 74470 381318 66570 17216 19687 17218 102920 18973 16881 17463 75786 19645 19075 69736 19357 76816 70385 22628 22627 52683 19076 18972 12544 17997 26440 68549 19088 269113 26444 19324 103733 19179 12579 232987 17420 228769 26445 105988 69745 18538 69928 57296 14235 22171 19170 17220 50793 18392 236930 67151 70024 59126 66296 109145 71819 67733 12447 12532 14156 26442 19177
